genres,num_ratings
(no genres listed),26627
action,42276
"action, adventure",143289
"action, adventure, animation",7652
"action, adventure, animation, children",9269
"action, adventure, animation, children, comedy",43289
"action, adventure, animation, children, comedy, fantasy",7760
"action, adventure, animation, children, comedy, imax",5465
"action, adventure, animation, children, comedy, romance",2936
"action, adventure, animation, children, comedy, sci-fi",3876
"action, adventure, animation, children, comedy, sci-fi, imax",180
"action, adventure, animation, children, comedy, western",3704
"action, adventure, animation, children, crime, mystery",7
"action, adventure, animation, children, drama",6
"action, adventure, animation, children, fantasy",1522
"action, adventure, animation, children, fantasy, sci-fi",5468
"action, adventure, animation, children, mystery",32
"action, adventure, animation, children, sci-fi",5890
"action, adventure, animation, comedy",6565
"action, adventure, animation, comedy, crime, mystery",1173
"action, adventure, animation, comedy, drama, fantasy, romance",35
"action, adventure, animation, comedy, fantasy",49
"action, adventure, animation, comedy, fantasy, mystery, sci-fi",365
"action, adventure, animation, comedy, sci-fi",50
"action, adventure, animation, comedy, thriller",71
"action, adventure, animation, crime",3
"action, adventure, animation, crime, fantasy",429
"action, adventure, animation, drama",309
"action, adventure, animation, drama, fantasy",13760
"action, adventure, animation, drama, fantasy, sci-fi",84
"action, adventure, animation, drama, romance",19
"action, adventure, animation, drama, sci-fi",10
"action, adventure, animation, drama, sci-fi, war",21
"action, adventure, animation, fantasy",2386
"action, adventure, animation, fantasy, horror",147
"action, adventure, animation, fantasy, imax",2645
"action, adventure, animation, fantasy, sci-fi",2921
"action, adventure, animation, horror",268
"action, adventure, animation, horror, sci-fi",7289
"action, adventure, animation, mystery, sci-fi",15
"action, adventure, animation, sci-fi",13890
"action, adventure, animation, sci-fi, thriller",60
"action, adventure, children",3745
"action, adventure, children, comedy",12465
"action, adventure, children, comedy, crime",144
"action, adventure, children, comedy, fantasy",15872
"action, adventure, children, comedy, fantasy, sci-fi",5578
"action, adventure, children, comedy, mystery",1042
"action, adventure, children, comedy, romance",6
"action, adventure, children, comedy, sci-fi",383
"action, adventure, children, crime, mystery, thriller",173
"action, adventure, children, drama",3568
"action, adventure, children, drama, fantasy",20
"action, adventure, children, drama, fantasy, sci-fi",14
"action, adventure, children, drama, western",5
"action, adventure, children, fantasy",5045
"action, adventure, children, fantasy, mystery, thriller",2458
"action, adventure, children, fantasy, sci-fi",6
"action, adventure, children, imax",3455
"action, adventure, children, mystery, sci-fi",1952
"action, adventure, children, romance",17
"action, adventure, children, sci-fi",1521
"action, adventure, comedy",76794
"action, adventure, comedy, crime",55153
"action, adventure, comedy, crime, drama",563
"action, adventure, comedy, crime, drama, film-noir, horror, mystery, thriller, western",419
"action, adventure, comedy, crime, drama, romance, thriller",11
"action, adventure, comedy, crime, drama, thriller",13
"action, adventure, comedy, crime, drama, war",7
"action, adventure, comedy, crime, fantasy",7570
"action, adventure, comedy, crime, mystery, romance",4
"action, adventure, comedy, crime, mystery, thriller",8792
"action, adventure, comedy, crime, romance, thriller",204
"action, adventure, comedy, crime, sci-fi",56
"action, adventure, comedy, crime, thriller",9138
"action, adventure, comedy, crime, thriller, war",12
"action, adventure, comedy, documentary, fantasy",99
"action, adventure, comedy, drama",192
"action, adventure, comedy, drama, fantasy, thriller",23
"action, adventure, comedy, drama, horror",3
"action, adventure, comedy, drama, mystery, romance, thriller",29
"action, adventure, comedy, drama, romance",749
"action, adventure, comedy, drama, romance, thriller",682
"action, adventure, comedy, drama, romance, war",145
"action, adventure, comedy, drama, romance, western",1
"action, adventure, comedy, drama, thriller",276
"action, adventure, comedy, drama, war",12067
"action, adventure, comedy, fantasy",71417
"action, adventure, comedy, fantasy, horror",12458
"action, adventure, comedy, fantasy, horror, sci-fi",1
"action, adventure, comedy, fantasy, horror, thriller",19483
"action, adventure, comedy, fantasy, mystery",3805
"action, adventure, comedy, fantasy, romance",38096
"action, adventure, comedy, fantasy, sci-fi",1844
"action, adventure, comedy, fantasy, sci-fi, thriller",38
"action, adventure, comedy, horror",655
"action, adventure, comedy, horror, sci-fi, thriller",3
"action, adventure, comedy, horror, thriller",4
"action, adventure, comedy, musical, romance, thriller",148
"action, adventure, comedy, mystery",46
"action, adventure, comedy, mystery, romance",3
"action, adventure, comedy, romance",45537
"action, adventure, comedy, romance, thriller",46138
"action, adventure, comedy, romance, war",21
"action, adventure, comedy, sci-fi",67162
"action, adventure, comedy, sci-fi, imax",404
"action, adventure, comedy, sci-fi, thriller",333
"action, adventure, comedy, thriller",14404
"action, adventure, comedy, war",9948
"action, adventure, comedy, war, western",1
"action, adventure, comedy, western",9602
"action, adventure, crime",3860
"action, adventure, crime, drama",1880
"action, adventure, crime, drama, fantasy, horror, mystery",6
"action, adventure, crime, drama, mystery",1
"action, adventure, crime, drama, mystery, thriller",18
"action, adventure, crime, drama, romance",3
"action, adventure, crime, drama, romance, thriller",1036
"action, adventure, crime, drama, sci-fi",24
"action, adventure, crime, drama, sci-fi, thriller, war",3
"action, adventure, crime, drama, thriller",20444
"action, adventure, crime, drama, thriller, war",12257
"action, adventure, crime, drama, western",49
"action, adventure, crime, fantasy",22
"action, adventure, crime, film-noir, romance",2
"action, adventure, crime, horror",6
"action, adventure, crime, horror, sci-fi",1
"action, adventure, crime, horror, thriller",4524
"action, adventure, crime, imax",19912
"action, adventure, crime, mystery",9
"action, adventure, crime, mystery, romance",17
"action, adventure, crime, mystery, thriller",35
"action, adventure, crime, romance",2
"action, adventure, crime, romance, western",10
"action, adventure, crime, sci-fi, thriller",634
"action, adventure, crime, thriller",26769
"action, adventure, crime, war",3
"action, adventure, crime, western",5
"action, adventure, documentary",206
"action, adventure, documentary, drama",1
"action, adventure, documentary, drama, thriller, western",2
"action, adventure, drama",123505
"action, adventure, drama, fantasy",55169
"action, adventure, drama, fantasy, horror, romance, sci-fi",14
"action, adventure, drama, fantasy, imax",9535
"action, adventure, drama, fantasy, mystery",14
"action, adventure, drama, fantasy, mystery, imax",13485
"action, adventure, drama, fantasy, romance",2
"action, adventure, drama, fantasy, romance, sci-fi, thriller",36
"action, adventure, drama, fantasy, sci-fi, thriller",4
"action, adventure, drama, fantasy, thriller",9980
"action, adventure, drama, horror, sci-fi",2
"action, adventure, drama, horror, thriller",38
"action, adventure, drama, imax",544
"action, adventure, drama, musical, romance, thriller, war",21
"action, adventure, drama, mystery",97
"action, adventure, drama, mystery, thriller",9739
"action, adventure, drama, romance",1807
"action, adventure, drama, romance, thriller",215
"action, adventure, drama, romance, thriller, western",87
"action, adventure, drama, romance, war",2870
"action, adventure, drama, romance, western",44
"action, adventure, drama, sci-fi",15927
"action, adventure, drama, sci-fi, thriller",50876
"action, adventure, drama, thriller",24129
"action, adventure, drama, thriller, imax",3688
"action, adventure, drama, thriller, war",867
"action, adventure, drama, thriller, western",3983
"action, adventure, drama, war",56327
"action, adventure, drama, war, western",223
"action, adventure, drama, western",7327
"action, adventure, fantasy",137375
"action, adventure, fantasy, horror",22081
"action, adventure, fantasy, horror, sci-fi",3
"action, adventure, fantasy, horror, sci-fi, thriller",1
"action, adventure, fantasy, horror, thriller",726
"action, adventure, fantasy, imax",27107
"action, adventure, fantasy, musical",7
"action, adventure, fantasy, musical, romance",6
"action, adventure, fantasy, mystery",3814
"action, adventure, fantasy, mystery, sci-fi",11
"action, adventure, fantasy, romance",1736
"action, adventure, fantasy, romance, imax",3093
"action, adventure, fantasy, romance, sci-fi",39
"action, adventure, fantasy, sci-fi",30868
"action, adventure, fantasy, sci-fi, imax",17611
"action, adventure, fantasy, sci-fi, thriller",75
"action, adventure, fantasy, thriller",15137
"action, adventure, fantasy, war",272
"action, adventure, horror",240
"action, adventure, horror, mystery",3
"action, adventure, horror, mystery, sci-fi, thriller",479
"action, adventure, horror, sci-fi",32149
"action, adventure, horror, sci-fi, thriller",178
"action, adventure, horror, thriller",7
"action, adventure, imax",156
"action, adventure, mystery",3
"action, adventure, mystery, romance",3
"action, adventure, mystery, romance, thriller",16850
"action, adventure, mystery, sci-fi",13871
"action, adventure, mystery, sci-fi, thriller",103
"action, adventure, mystery, thriller",39608
"action, adventure, romance",8031
"action, adventure, romance, sci-fi",35
"action, adventure, romance, thriller",33892
"action, adventure, romance, war",126
"action, adventure, romance, western",11
"action, adventure, sci-fi",595361
"action, adventure, sci-fi, imax",166640
"action, adventure, sci-fi, thriller",357723
"action, adventure, sci-fi, thriller, imax",61846
"action, adventure, sci-fi, thriller, war",19785
"action, adventure, sci-fi, war, imax",2854
"action, adventure, sci-fi, western",125
"action, adventure, thriller",344500
"action, adventure, thriller, imax",17746
"action, adventure, thriller, war",3821
"action, adventure, thriller, western",17
"action, adventure, war",2581
"action, adventure, war, western",2
"action, adventure, western",18899
"action, adventure, western, imax",1634
"action, animation",933
"action, animation, children",86
"action, animation, children, comedy",760
"action, animation, children, comedy, fantasy",3
"action, animation, children, comedy, imax",11259
"action, animation, children, comedy, sci-fi",50
"action, animation, children, comedy, sci-fi, imax",5339
"action, animation, children, crime",1875
"action, animation, children, fantasy",571
"action, animation, children, fantasy, sci-fi",83
"action, animation, children, sci-fi",443
"action, animation, comedy",11992
"action, animation, comedy, crime, drama, romance, thriller",1388
"action, animation, comedy, fantasy",82
"action, animation, comedy, fantasy, horror, sci-fi",5
"action, animation, comedy, horror, mystery, thriller",17
"action, animation, comedy, horror, thriller",67
"action, animation, comedy, romance",27
"action, animation, comedy, romance, western",11
"action, animation, comedy, sci-fi",11
"action, animation, comedy, thriller",5
"action, animation, crime",128
"action, animation, crime, drama",292
"action, animation, crime, drama, mystery",3
"action, animation, crime, horror, sci-fi",7
"action, animation, crime, mystery",55
"action, animation, crime, sci-fi",212
"action, animation, crime, sci-fi, thriller",177
"action, animation, crime, thriller",42
"action, animation, drama",44
"action, animation, drama, fantasy, horror",5
"action, animation, drama, fantasy, sci-fi",1008
"action, animation, drama, horror, sci-fi",67
"action, animation, drama, mystery",5
"action, animation, drama, sci-fi",5452
"action, animation, drama, sci-fi, thriller",1684
"action, animation, drama, thriller",25
"action, animation, drama, war",56
"action, animation, fantasy",391
"action, animation, fantasy, horror",153
"action, animation, fantasy, horror, sci-fi, thriller",43
"action, animation, fantasy, imax",149
"action, animation, fantasy, sci-fi",814
"action, animation, fantasy, sci-fi, thriller",38
"action, animation, film-noir, sci-fi, thriller",290
"action, animation, horror",333
"action, animation, horror, mystery",156
"action, animation, horror, sci-fi",59
"action, animation, horror, thriller",51
"action, animation, mystery",32
"action, animation, mystery, imax",2929
"action, animation, romance",54
"action, animation, sci-fi",2669
"action, animation, sci-fi, thriller",3677
"action, animation, sci-fi, war",20
"action, animation, sci-fi, western",127
"action, animation, thriller",22
"action, animation, western",9
"action, children",3181
"action, children, comedy",2811
"action, children, comedy, crime",5
"action, children, comedy, crime, drama, romance",35
"action, children, comedy, drama",4
"action, children, comedy, drama, fantasy",7
"action, children, comedy, drama, fantasy, thriller",5
"action, children, comedy, drama, romance",13
"action, children, comedy, drama, thriller",4
"action, children, comedy, fantasy, sci-fi",4997
"action, children, comedy, mystery",15
"action, children, comedy, romance",47
"action, children, crime, drama",1
"action, children, crime, drama, romance",6
"action, children, crime, drama, thriller",9
"action, children, crime, fantasy, mystery",414
"action, children, drama",1815
"action, children, drama, mystery, thriller",4
"action, children, drama, romance",10
"action, children, drama, thriller",1
"action, children, drama, western",2
"action, children, fantasy",3045
"action, children, fantasy, musical",10
"action, children, fantasy, sci-fi",9
"action, children, romance",3458
"action, children, sci-fi, imax",840
"action, children, thriller",15
"action, comedy",140121
"action, comedy, crime",48855
"action, comedy, crime, documentary",5
"action, comedy, crime, drama",60800
"action, comedy, crime, drama, horror, thriller",1208
"action, comedy, crime, drama, musical, romance",37
"action, comedy, crime, drama, musical, thriller",51
"action, comedy, crime, drama, mystery",8
"action, comedy, crime, drama, romance",13
"action, comedy, crime, drama, romance, thriller",2
"action, comedy, crime, drama, sci-fi",11756
"action, comedy, crime, drama, thriller",21781
"action, comedy, crime, drama, war",14
"action, comedy, crime, fantasy",35353
"action, comedy, crime, fantasy, thriller",21
"action, comedy, crime, fantasy, thriller, imax",1783
"action, comedy, crime, horror",1364
"action, comedy, crime, horror, thriller",7
"action, comedy, crime, mystery",14357
"action, comedy, crime, mystery, thriller",38
"action, comedy, crime, romance",8453
"action, comedy, crime, romance, thriller",11
"action, comedy, crime, sci-fi",6
"action, comedy, crime, thriller",80655
"action, comedy, crime, western",400
"action, comedy, documentary",4991
"action, comedy, documentary, drama",19
"action, comedy, documentary, drama, romance, thriller",1
"action, comedy, drama",7573
"action, comedy, drama, fantasy, mystery, sci-fi, war",14
"action, comedy, drama, fantasy, sci-fi, imax",24
"action, comedy, drama, fantasy, thriller",53
"action, comedy, drama, horror",216
"action, comedy, drama, horror, thriller",156
"action, comedy, drama, musical, romance",51
"action, comedy, drama, mystery, thriller",2
"action, comedy, drama, romance",171
"action, comedy, drama, romance, thriller",2
"action, comedy, drama, romance, war",5
"action, comedy, drama, thriller",1310
"action, comedy, drama, thriller, war",32
"action, comedy, drama, war",26
"action, comedy, drama, western",43
"action, comedy, fantasy",9305
"action, comedy, fantasy, horror",8377
"action, comedy, fantasy, horror, thriller",136
"action, comedy, fantasy, imax",6052
"action, comedy, fantasy, musical, romance",9367
"action, comedy, fantasy, romance",53
"action, comedy, fantasy, romance, sci-fi",2
"action, comedy, fantasy, sci-fi",1149
"action, comedy, fantasy, thriller",679
"action, comedy, film-noir, musical, sci-fi",9
"action, comedy, horror",18980
"action, comedy, horror, musical",27
"action, comedy, horror, mystery",13
"action, comedy, horror, romance, sci-fi",54
"action, comedy, horror, romance, thriller",5
"action, comedy, horror, sci-fi",3383
"action, comedy, horror, sci-fi, thriller",1072
"action, comedy, horror, thriller",16920
"action, comedy, horror, western",4
"action, comedy, imax",2382
"action, comedy, musical",23238
"action, comedy, musical, romance",22
"action, comedy, musical, sci-fi",42
"action, comedy, mystery",1
"action, comedy, mystery, romance",15
"action, comedy, mystery, romance, thriller",19
"action, comedy, mystery, thriller",17
"action, comedy, romance",43630
"action, comedy, romance, sci-fi",12
"action, comedy, romance, sci-fi, thriller",9
"action, comedy, romance, thriller",2982
"action, comedy, romance, war",4013
"action, comedy, romance, western",77
"action, comedy, sci-fi",123448
"action, comedy, sci-fi, imax",5248
"action, comedy, sci-fi, thriller",923
"action, comedy, sci-fi, western",11723
"action, comedy, thriller",9990
"action, comedy, thriller, western",57
"action, comedy, war",15065
"action, comedy, western",7070
"action, crime",95785
"action, crime, documentary",3
"action, crime, documentary, thriller",3
"action, crime, drama",66802
"action, crime, drama, fantasy, romance",52
"action, crime, drama, film-noir",19
"action, crime, drama, film-noir, mystery, romance, thriller",1
"action, crime, drama, film-noir, thriller",87
"action, crime, drama, horror",55
"action, crime, drama, horror, thriller",2007
"action, crime, drama, imax",42189
"action, crime, drama, musical",2
"action, crime, drama, mystery",52
"action, crime, drama, mystery, romance, thriller",3
"action, crime, drama, mystery, sci-fi, thriller",8646
"action, crime, drama, mystery, sci-fi, thriller, imax",38895
"action, crime, drama, mystery, thriller",29058
"action, crime, drama, romance",112
"action, crime, drama, romance, thriller",382
"action, crime, drama, romance, western",52
"action, crime, drama, sci-fi",282
"action, crime, drama, sci-fi, thriller",20043
"action, crime, drama, thriller",260088
"action, crime, drama, thriller, imax",2676
"action, crime, drama, thriller, war",9575
"action, crime, drama, thriller, western",168
"action, crime, drama, war",7407
"action, crime, drama, western",6670
"action, crime, fantasy",3338
"action, crime, fantasy, romance",1
"action, crime, fantasy, sci-fi, thriller",1439
"action, crime, fantasy, thriller",16226
"action, crime, film-noir",331
"action, crime, film-noir, mystery, thriller",22271
"action, crime, horror",2586
"action, crime, horror, mystery, thriller",814
"action, crime, horror, sci-fi",10
"action, crime, horror, sci-fi, thriller",5327
"action, crime, horror, thriller",641
"action, crime, imax",30684
"action, crime, musical",64
"action, crime, musical, romance",60
"action, crime, mystery",1850
"action, crime, mystery, romance, sci-fi, thriller",6
"action, crime, mystery, romance, thriller",1355
"action, crime, mystery, sci-fi, thriller",41630
"action, crime, mystery, thriller",26098
"action, crime, romance",460
"action, crime, romance, thriller",14201
"action, crime, sci-fi",29341
"action, crime, sci-fi, imax",1782
"action, crime, sci-fi, thriller",5228
"action, crime, thriller",379990
"action, crime, thriller, imax",5280
"action, crime, thriller, war",126
"action, crime, thriller, western",4224
"action, crime, western",59
"action, documentary",32
"action, documentary, drama",166
"action, documentary, drama, romance, war",14
"action, documentary, sci-fi",3
"action, drama",86629
"action, drama, fantasy",2402
"action, drama, fantasy, horror",5
"action, drama, fantasy, horror, mystery, sci-fi, thriller",320
"action, drama, fantasy, horror, sci-fi, thriller",14
"action, drama, fantasy, horror, thriller, war",33
"action, drama, fantasy, mystery",3
"action, drama, fantasy, romance",78
"action, drama, fantasy, sci-fi",271
"action, drama, fantasy, sci-fi, thriller",5
"action, drama, fantasy, thriller",1
"action, drama, fantasy, war",38
"action, drama, horror",3746
"action, drama, horror, imax",6144
"action, drama, horror, mystery",17
"action, drama, horror, mystery, thriller",1
"action, drama, horror, romance, sci-fi",36
"action, drama, horror, sci-fi",28
"action, drama, horror, sci-fi, thriller",2134
"action, drama, horror, thriller",13394
"action, drama, horror, war",2
"action, drama, imax",214
"action, drama, musical",9
"action, drama, musical, romance",134
"action, drama, musical, war",32
"action, drama, mystery",3980
"action, drama, mystery, romance, sci-fi",3
"action, drama, mystery, romance, sci-fi, thriller",1
"action, drama, mystery, romance, thriller",2422
"action, drama, mystery, sci-fi",79
