genre,avg_rating,total_ratings
"action, adventure, mystery, romance, thriller",4.2,16850
"film-noir, romance, thriller",4.16,5062
"action, crime, drama, mystery, sci-fi, thriller, imax",4.16,38895
"action, adventure, crime, drama, thriller",4.15,20444
"film-noir, mystery",4.15,12335
"adventure, animation, fantasy",4.15,24132
"action, crime, drama, imax",4.15,42189
"animation, children, drama, fantasy",4.15,9375
"crime, film-noir, mystery",4.12,8548
"action, adventure, comedy, fantasy, romance",4.12,38096
"action, adventure, western",4.11,18899
"action, adventure, animation, drama, fantasy",4.11,13760
"comedy, crime, drama, thriller",4.1,146913
"crime, thriller, war",4.1,8851
"animation, comedy, romance",4.1,2665
"sci-fi, imax",4.1,22634
"adventure, animation, fantasy, romance",4.09,10592
"animation, drama, fantasy, romance",4.09,1620
"crime, film-noir, thriller",4.09,11927
"film-noir, mystery, thriller",4.09,9205
"animation, drama, war",4.08,5078
"comedy, musical, war",4.08,5562
"adventure, animation, drama, fantasy, sci-fi",4.08,5479
"comedy, drama, romance, war",4.07,106136
"drama, film-noir, romance",4.07,9116
"action, adventure, animation, children, fantasy, sci-fi",4.06,5468
"adventure, comedy, romance, war",4.05,10881
"comedy, crime, mystery, romance, thriller",4.05,4267
"crime, film-noir, mystery, thriller",4.04,50772
"crime, horror",4.04,23353
"adventure, drama, romance, thriller, war",4.01,1011
"action, drama, mystery, romance, thriller",4.01,2422
"comedy, drama, film-noir",4.01,2763
"crime, mystery, thriller",4.01,132624
"adventure, animation, children, romance, sci-fi",4.0,27374
"drama, mystery, western",3.99,10447
"action, adventure, drama, fantasy",3.99,55169
"crime, drama",3.99,594888
"children, drama, fantasy, romance",3.98,16646
"action, adventure, horror, sci-fi",3.98,32149
"action, adventure, crime, imax",3.97,19912
"adventure, animation, drama",3.97,1831
"mystery, thriller",3.97,152870
"animation, children, comedy, crime",3.96,24931
"adventure, animation, children, comedy, sci-fi",3.96,8361
"fantasy, sci-fi",3.96,16253
"drama, war",3.96,283562
"comedy, drama, musical, sci-fi",3.95,4322
"crime, mystery, romance, thriller",3.94,5128
"adventure, drama, fantasy, mystery, sci-fi",3.94,8305
"crime, documentary, war",3.94,547
"animation, comedy, drama, romance, sci-fi",3.94,1896
"comedy, mystery, thriller",3.94,10609
"adventure, children, fantasy, musical",3.93,24994
"adventure, animation, children, comedy, drama, fantasy",3.93,13605
"action, crime, imax",3.93,30684
"crime, drama, film-noir, thriller",3.93,27291
"adventure, comedy, drama, fantasy, mystery, sci-fi, thriller",3.93,1002
"drama, mystery, sci-fi, thriller",3.93,72353
"crime, drama, sci-fi, thriller",3.92,32738
"adventure, fantasy",3.92,153729
"animation, children, comedy, drama, romance",3.92,597
"adventure, animation, comedy, fantasy, romance",3.91,2845
"crime, horror, thriller",3.91,90795
"action, drama, western",3.91,40902
"drama, western",3.91,42453
"drama, film-noir, mystery, romance",3.91,1595
"action, adventure, drama, fantasy, mystery, imax",3.91,13485
"action, animation, drama, fantasy, sci-fi",3.91,1008
"crime, drama, war",3.91,1230
"crime, fantasy, horror",3.91,1732
"drama, fantasy, horror, romance",3.9,5699
"drama, mystery, war",3.9,1559
"animation, drama, romance",3.9,4801
"animation, horror, mystery, thriller",3.9,1722
"animation, mystery, sci-fi",3.9,2523
"comedy, drama, fantasy, mystery",3.9,1026
"animation, documentary, drama, war",3.89,1570
"drama, fantasy, thriller",3.89,22293
"drama, horror, mystery",3.89,56620
"adventure, drama, war",3.89,41840
"action, adventure, animation, comedy, crime, mystery",3.88,1173
"action, adventure, drama, thriller, western",3.88,3983
"action, drama, thriller, western",3.88,6019
"action, drama, war",3.88,257972
"adventure, animation, children, drama, sci-fi",3.87,9855
"action, animation, sci-fi, thriller",3.87,3677
"adventure, documentary",3.87,3376
"adventure, animation, children, comedy, crime",3.87,6102
"crime, drama, film-noir",3.86,21116
"documentary, war",3.86,8331
"children, drama, fantasy, mystery",3.85,3775
"action, comedy, crime, mystery",3.85,14357
"action, adventure, animation, sci-fi",3.85,13890
"comedy, war",3.85,50169
"animation, comedy, drama, fantasy, sci-fi",3.85,546
"adventure, animation, children, drama, fantasy",3.85,7826
film-noir,3.85,3174
"adventure, drama, mystery, thriller",3.85,2442
"animation, drama",3.85,5345
"action, western",3.84,29209
"adventure, animation, children, drama",3.84,36682
"action, adventure, crime, drama, thriller, war",3.84,12257
"action, adventure, drama, western",3.84,7327
"drama, mystery",3.84,78900
"crime, drama, film-noir, mystery, thriller",3.84,12551
"comedy, drama, sci-fi",3.84,36176
"animation, drama, fantasy",3.84,4934
"mystery, sci-fi, thriller",3.84,69124
"adventure, fantasy, mystery, romance, imax",3.83,14175
"action, animation, comedy",3.83,11992
"animation, sci-fi",3.83,12797
"drama, romance, sci-fi, thriller",3.83,2765
"comedy, crime, thriller",3.82,73886
"adventure, animation, children, drama, musical, imax",3.82,42745
"drama, fantasy, romance, sci-fi",3.82,4567
"adventure, drama, imax",3.82,57751
"action, adventure, animation, children, comedy",3.81,43289
"adventure, western",3.81,8728
"action, drama, romance, western",3.81,1072
"adventure, film-noir, sci-fi, thriller",3.81,12170
"fantasy, western",3.81,549
"children, documentary",3.81,615
"drama, film-noir",3.81,4853
"drama, romance, sci-fi",3.81,60902
"adventure, comedy, fantasy, romance",3.81,6694
"drama, mystery, sci-fi",3.8,7067
"action, animation, drama, sci-fi, thriller",3.8,1684
"comedy, drama, war",3.8,39727
"comedy, crime, drama, mystery",3.79,1429
mystery,3.79,3983
"adventure, drama, thriller, imax",3.79,4744
"action, crime, mystery",3.79,1850
"action, drama, horror",3.78,3746
"action, crime, film-noir, mystery, thriller",3.78,22271
"adventure, comedy, fantasy",3.78,80607
"drama, mystery, romance, war",3.78,2117
"action, crime, drama, thriller, war",3.77,9575
"adventure, drama, fantasy, imax",3.77,14346
"drama, thriller, war",3.77,53214
"mystery, romance, thriller",3.77,6496
"drama, film-noir, mystery, thriller",3.77,1030
"animation, romance",3.77,593
"action, comedy, fantasy, horror",3.77,8377
"adventure, fantasy, thriller, imax",3.77,18848
"animation, comedy, fantasy, musical",3.76,2109
documentary,3.76,234981
"comedy, crime, drama",3.76,96895
"action, comedy, fantasy, musical, romance",3.76,9367
"adventure, comedy, drama",3.75,43186
"crime, drama, western",3.75,7607
"crime, drama, film-noir, mystery",3.75,3056
"action, crime, drama, thriller",3.75,260088
"animation, comedy, drama",3.75,522
"crime, documentary",3.74,1665
"drama, fantasy, musical",3.74,2417
"children, drama, war",3.74,1141
"drama, film-noir, thriller",3.74,6813
"action, mystery, thriller",3.74,40738
"crime, drama, mystery, thriller, war",3.74,657
"drama, mystery, romance, thriller",3.74,39669
"action, adventure, drama",3.74,123505
"adventure, animation, children, comedy, fantasy",3.74,151541
"adventure, animation, children, comedy, fantasy, romance",3.74,42945
"children, drama, sci-fi",3.73,34692
"crime, drama, thriller",3.73,286819
"action, adventure, comedy, crime, mystery, thriller",3.73,8792
"action, adventure, comedy, fantasy, horror",3.73,12458
"animation, children, comedy, fantasy, musical, romance, imax",3.73,7695
"adventure, animation, children, fantasy, imax",3.73,19255
"adventure, comedy, crime, romance",3.73,5388
"action, crime, drama, western",3.73,6670
"adventure, animation, children, comedy, drama, musical, romance",3.73,11107
"drama, fantasy, romance",3.73,84646
"drama, fantasy, horror, thriller, war",3.73,1661
"action, comedy, horror, sci-fi, thriller",3.72,1072
"action, adventure, comedy, drama, romance, thriller",3.72,682
"crime, drama, romance",3.72,42416
"animation, fantasy, thriller",3.72,7210
"crime, drama, fantasy, film-noir, mystery, romance",3.72,4630
"adventure, comedy, crime",3.72,26869
"musical, romance",3.71,19563
"adventure, drama",3.71,91666
"documentary, musical",3.71,12831
"adventure, animation, children, comedy, fantasy, imax",3.71,17236
"action, drama, mystery, sci-fi, thriller, imax",3.71,11981
"adventure, drama, western",3.71,45051
"action, sci-fi, imax",3.71,27346
"action, romance, war, western",3.71,11948
"drama, romance, war",3.7,60290
"action, adventure",3.7,143289
"crime, drama, romance, war",3.7,2774
"children, comedy, fantasy, musical",3.7,44724
"crime, drama, mystery",3.7,50520
"crime, film-noir",3.69,9334
drama,3.69,1765705
"crime, drama, thriller, war",3.69,587
"drama, film-noir, mystery",3.69,1116
"documentary, sci-fi",3.69,638
"animation, children, drama",3.68,32014
"action, crime, horror, sci-fi, thriller",3.68,5327
"animation, children, fantasy, musical, romance, imax",3.68,35723
"adventure, drama, sci-fi",3.68,107422
"comedy, drama, sci-fi, war",3.67,676
"children, comedy, musical, romance",3.67,1009
"comedy, crime, drama, mystery, romance",3.67,2624
"animation, fantasy",3.67,3131
"drama, romance",3.67,796335
"crime, drama, horror",3.66,1695
"action, drama, thriller, war",3.66,20337
"animation, children, comedy, fantasy",3.66,3223
"action, adventure, animation",3.66,7652
"animation, fantasy, horror, sci-fi",3.66,1671
"documentary, imax",3.66,3106
"documentary, drama",3.65,9439
"drama, romance, thriller",3.65,43061
"action, comedy, crime, drama, sci-fi",3.65,11756
"adventure, animation, comedy",3.65,22418
"action, comedy, musical",3.65,23238
"adventure, animation, children, comedy, musical",3.65,58552
"comedy, crime, mystery, thriller",3.65,14381
"comedy, drama, mystery, romance",3.65,1065
"action, animation, sci-fi",3.65,2669
"action, adventure, thriller, imax",3.64,17746
"action, animation, drama, sci-fi",3.64,5452
"drama, romance, thriller, war",3.64,854
"adventure, fantasy, imax",3.64,49327
"drama, fantasy, mystery, romance",3.64,25728
"action, adventure, sci-fi, thriller, war",3.64,19785
"adventure, fantasy, musical",3.64,8800
"animation, children, fantasy, musical",3.64,60479
"drama, fantasy, musical, romance",3.64,3018
"action, adventure, drama, war",3.63,56327
"adventure, drama, sci-fi, thriller",3.63,4660
"adventure, children, drama, fantasy",3.63,1132
"drama, fantasy, musical, mystery, sci-fi",3.63,636
"comedy, drama, fantasy",3.63,62763
"comedy, drama, musical, romance",3.62,15059
"adventure, comedy, sci-fi",3.62,133010
war,3.62,4190
"action, crime, thriller, western",3.62,4224
"animation, drama, mystery, sci-fi, thriller",3.62,4612
"drama, horror, romance",3.62,1354
fantasy,3.61,8066
"drama, sci-fi, thriller",3.61,92753
"adventure, drama, thriller",3.61,31002
"action, drama, horror, thriller",3.61,13394
"action, sci-fi, thriller",3.61,313025
"action, animation, children, comedy, imax",3.61,11259
"comedy, drama, western",3.61,1121
"drama, mystery, thriller",3.61,182891
"action, comedy, crime, romance",3.61,8453
"action, adventure, animation, children, comedy, fantasy",3.6,7760
"adventure, drama, romance, war",3.6,869
"mystery, sci-fi",3.6,2102
"drama, sci-fi",3.6,84432
"drama, fantasy",3.6,18418
"action, adventure, comedy, drama, war",3.6,12067
"adventure, crime, drama",3.6,15561
"drama, thriller, western",3.6,878
western,3.59,45049
"children, drama, fantasy",3.59,16108
"action, crime, mystery, sci-fi, thriller",3.59,41630
"action, sci-fi, thriller, imax",3.59,49828
"comedy, drama, romance",3.59,715769
"drama, romance, western",3.58,6155
"action, drama, mystery, sci-fi, thriller",3.58,12095
"comedy, documentary",3.58,21214
"comedy, drama, mystery",3.58,7901
"children, comedy, crime, drama, fantasy",3.58,1032
"comedy, drama, thriller",3.58,20427
"animation, documentary",3.58,613
"crime, mystery",3.58,2876
"animation, children, drama, fantasy, musical",3.58,17940
"action, comedy, crime, horror",3.58,1364
"action, crime, drama, horror, thriller",3.58,2007
"adventure, animation, comedy, fantasy, musical",3.58,4106
"action, comedy, fantasy, sci-fi",3.58,1149
"action, adventure, animation, children",3.58,9269
"adventure, animation, comedy, sci-fi",3.57,858
"action, adventure, fantasy, sci-fi, imax",3.57,17611
"drama, horror, mystery, romance, thriller",3.57,1687
"animation, comedy, musical",3.57,19557
"romance, sci-fi, thriller",3.57,5601
"crime, drama, romance, thriller",3.57,19034
"film-noir, horror, mystery, thriller",3.57,2817
"action, fantasy, war, imax",3.57,18769
"action, crime, drama, mystery, thriller",3.57,29058
"children, drama",3.57,55487
"comedy, drama",3.57,721432
"adventure, mystery, sci-fi, thriller",3.56,2034
"crime, thriller",3.56,114422
"drama, mystery, romance, sci-fi, thriller",3.56,1181
"action, animation, children, comedy, sci-fi, imax",3.56,5339
"action, adventure, comedy, sci-fi",3.56,67162
"action, adventure, crime, horror, thriller",3.56,4524
"action, crime, mystery, romance, thriller",3.56,1355
"fantasy, horror, sci-fi, thriller",3.56,3427
"action, adventure, sci-fi",3.55,595361
"animation, comedy, fantasy, musical, romance",3.55,7577
"action, adventure, comedy, fantasy, sci-fi",3.55,1844
"action, drama, romance",3.55,49940
"action, adventure, fantasy, imax",3.55,27107
"drama, fantasy, mystery, sci-fi",3.55,9953
"action, crime, romance, thriller",3.55,14201
"adventure, animation, children, comedy",3.55,116942
"animation, children, fantasy",3.54,5590
"adventure, animation, children, comedy, crime, fantasy, mystery",3.54,21899
"crime, drama, mystery, romance, thriller",3.54,17882
"documentary, mystery",3.54,1050
"animation, children, fantasy, musical, romance",3.54,11951
"drama, mystery, romance",3.54,9957
"drama, musical",3.54,50246
"musical, romance, war",3.53,1922
"animation, children, comedy, musical",3.53,13609
"action, crime, drama",3.53,66802
"animation, children, comedy, musical, romance",3.53,15145
"drama, musical, romance",3.53,63408
"drama, musical, romance, imax",3.53,2243
"children, drama, mystery",3.53,4224
"action, comedy, horror",3.53,18980
"comedy, crime, drama, musical",3.53,10240
"animation, children, musical",3.53,13449
"action, crime, drama, war",3.53,7407
thriller,3.52,178943
"action, crime, thriller",3.52,379990
"fantasy, horror, mystery, romance",3.52,14669
"action, crime, fantasy, thriller",3.52,16226
"comedy, fantasy, romance",3.52,87375
"horror, mystery",3.52,27546
"film-noir, thriller",3.52,973
"comedy, crime, drama, romance",3.52,4691
"comedy, crime, mystery",3.52,12756
"comedy, musical, romance, western",3.52,964
"animation, children, musical, imax",3.52,4112
"comedy, drama, fantasy, romance",3.51,69174
"animation, children, comedy, imax",3.51,4695
"comedy, crime, drama, mystery, thriller",3.51,3117
"romance, sci-fi",3.51,2863
"action, mystery",3.51,11715
"action, drama, sci-fi",3.51,26664
"action, comedy, crime, drama",3.51,60800
"adventure, animation, romance",3.51,856
"children, comedy, musical",3.5,7326
"action, adventure, animation, fantasy",3.5,2386
"action, comedy, drama, thriller",3.5,1310
"action, drama, romance, thriller, war",3.5,587
"adventure, children, comedy, mystery",3.5,3514
"comedy, crime, romance",3.5,21630
"comedy, drama, horror, sci-fi, thriller",3.5,1645
"comedy, drama, romance, sci-fi",3.5,726
"comedy, war, western",3.5,710
"drama, romance, war, western",3.5,15840
"crime, drama, mystery, thriller",3.49,86230
"action, animation, children, crime",3.49,1875
"adventure, drama, horror, thriller",3.49,3106
"action, horror",3.49,30719
"animation, children, comedy, drama",3.49,555
animation,3.49,11620
"adventure, animation, comedy, fantasy, musical, romance",3.49,7220
"comedy, crime, drama, romance, thriller",3.49,12063
"action, crime, mystery, thriller",3.49,26098
"crime, drama, fantasy, thriller",3.49,3805
"adventure, animation, children, comedy, musical, romance",3.48,20198
"mystery, sci-fi, thriller, imax",3.48,4642
"horror, musical, thriller",3.48,522
"drama, thriller",3.48,365955
"action, comedy, crime, drama, horror, thriller",3.48,1208
"comedy, musical",3.48,43858
"comedy, drama, musical",3.48,19963
"comedy, crime, drama, war",3.48,712
"adventure, animation, children, comedy, fantasy, musical, romance",3.48,3859
"sci-fi, thriller, imax",3.47,2393
"comedy, documentary, drama",3.47,11757
"romance, western",3.47,1745
"animation, children, drama, musical",3.47,9088
"adventure, drama, romance, sci-fi",3.47,7152
"action, mystery, sci-fi, thriller",3.47,11546
"drama, sci-fi, imax",3.47,7982
